Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather,City
-9.0,-13.9,68,7,25.0,102.22,Mostly Cloudy,Avellaneda
-9.2,-14.3,66,6,25.0,102.17,Mostly Cloudy,Aristóbulo del Valle
-9.8,-14.5,68,0,25.0,102.13,Mostly Cloudy,Zapala
-9.0,-14.1,66,4,25.0,102.15,Mostly Cloudy,Yerba Buena
-8.8,-13.2,70,0,25.0,102.11,Cloudy,Villa Regina
-8.5,-13.2,69,9,25.0,102.02,Cloudy,Villa Paula de Sarmiento
-8.4,-12.7,71,11,25.0,101.93,Cloudy,Villa Nueva
-7.7,-11.9,72,11,25.0,101.86,Cloudy,Villa María
-6.8,-11.0,72,15,25.0,101.8,Mostly Cloudy,Villa Dolores
-5.9,-10.5,70,13,16.1,101.74,Snow,Villa Constitución
-5.4,-9.2,75,11,12.9,101.68,Snow,Villa Carlos Paz
-4.8,-8.3,76,9,16.1,101.64,Snow,Villa Ángela
-3.7,-7.2,77,7,24.1,101.54,Snow,Villa Allende
-2.5,-6.6,73,9,24.1,101.4,Cloudy,Viedma
-1.7,-5.8,74,7,24.1,101.27,Cloudy,Victoria
-1.4,-5.1,76,7,24.1,101.2,Cloudy,Vera
-1.0,-5.1,74,9,24.1,101.13,Mostly Cloudy,Venado Tuerto
-1.3,-5.7,72,11,24.1,101.05,Mostly Cloudy,Veinticinco de Mayo
-1.4,-5.8,72,15,24.1,100.96,Mostly Cloudy,Ushuaia
-1.0,-5.6,71,20,25.0,100.9,Mostly Cloudy,Unquillo
-1.1,-5.8,70,19,25.0,100.83,Mostly Cloudy,Tres Isletas
-1.5,-6.2,70,15,25.0,100.77,Mostly Cloudy,Tres Arroyos
-1.7,-6.3,71,11,25.0,100.64,Mostly Cloudy,Trelew
-0.3,-6.3,64,19,25.0,100.54,Mostly Cloudy,Termas de Río Hondo
-0.2,-6.1,64,17,25.0,100.45,Cloudy,Tartagal
2.5,-5.2,57,30,25.0,100.38,Cloudy,Tafí Viejo
2.3,-3.4,66,35,25.0,100.28,Snow,Sunchales
1.4,-2.5,75,19,6.4,100.23,Snow,Santo Tomé
1.6,-2.0,77,28,25.0,100.16,Snow,Santiago del Estero
1.2,-1.7,81,26,25.0,100.07,Cloudy,Santa Rosa
0.8,-1.2,86,30,9.7,100.02,"Rain,Snow",Santa Lucía
0.7,-1.2,87,30,8.0,100.04,Snow,Santa Fe de la Vera Cruz
1.5,-0.7,85,20,8.0,100.08,Snow,San Salvador de Jujuy
1.2,-1.1,85,24,16.1,100.11,Cloudy,San Ramón de la Nueva Orán
1.6,-0.8,84,17,19.3,100.23,Cloudy,San Rafael
2.0,-0.9,81,24,24.1,100.27,Mostly Cloudy,San Pedro
2.6,-1.1,77,22,24.1,100.29,Mainly Clear,San Nicolás de los Arroyos
1.4,-3.1,72,30,24.1,100.32,Mostly Cloudy,San Miguel de Tucumán
0.7,-5.4,64,26,24.1,100.36,Mostly Cloudy,San Martín de los Andes
-0.2,-6.2,64,26,24.1,100.45,Mainly Clear,San Martín
-1.4,-7.9,61,30,24.1,100.65,Mainly Clear,San Luis
-3.1,-10.9,55,30,24.1,100.81,Mostly Cloudy,San Justo
-4.0,-12.0,54,17,24.1,100.91,Mostly Cloudy,San Juan
-4.9,-12.7,54,15,25.0,101.04,Mostly Cloudy,San José de Jáchal
-5.7,-13.8,53,15,25.0,101.15,Mostly Cloudy,San Jorge
-6.4,-14.3,53,13,25.0,101.24,Mostly Cloudy,San Francisco
-6.6,-13.6,57,9,25.0,101.32,Mostly Cloudy,San Fernando del Valle de Catamarca
-7.3,-14.7,55,13,25.0,101.34,Mostly Cloudy,San Antonio Oeste
-8.6,-15.6,57,19,25.0,101.44,Mostly Cloudy,Salta
-9.5,-16.8,55,17,25.0,101.43,Mostly Cloudy,Rufino
-10.7,-17.8,56,17,25.0,101.49,Clear,Rosario
-12.0,-18.9,56,19,25.0,101.57,Clear,Río Tercero
-12.7,-19.4,57,19,25.0,101.64,Clear,Río Segundo
-13.4,-20.1,57,17,25.0,101.66,Clear,Río Gallegos
-13.9,-21.0,55,19,25.0,101.66,Mainly Clear,Río Cuarto
-14.4,-21.1,57,20,25.0,101.72,Mainly Clear,Río Ceballos
-14.4,-21.0,57,13,25.0,101.77,Mostly Cloudy,Rawson
-14.7,-21.4,57,15,24.1,101.8,Mostly Cloudy,Rafaela
-14.3,-20.8,58,15,24.1,101.81,Mostly Cloudy,Quitilipi
-13.9,-20.9,55,11,19.3,101.89,Cloudy,Punta Alta
-13.4,-20.8,54,15,24.1,101.78,Mostly Cloudy,Puerto Madryn
-12.7,-20.4,53,17,24.1,101.68,Cloudy,Presidencia Roque Sáenz Peña
-12.2,-20.0,52,19,24.1,101.63,Mostly Cloudy,Pocito
-11.4,-19.4,52,20,24.1,101.56,Mostly Cloudy,Plottier
-11.6,-19.9,50,20,24.1,101.61,Mostly Cloudy,Pergamino
-11.8,-20.9,47,20,24.1,101.6,Mostly Cloudy,Pérez
-11.9,-20.1,51,26,24.1,101.56,Mostly Cloudy,Paraná
-12.0,-19.9,52,24,25.0,101.51,Mostly Cloudy,Palpalá
-11.8,-19.2,54,30,25.0,101.43,Mostly Cloudy,Olavarría
-11.2,-18.1,57,24,25.0,101.4,Cloudy,Nueve de Julio
-11.2,-16.5,65,19,25.0,101.32,Cloudy,Neuquén
-10.8,-16.0,65,22,25.0,101.29,Cloudy,Morteros
-10.7,-15.7,67,20,25.0,101.19,Mostly Cloudy,Monteros
-10.0,-15.2,66,19,25.0,101.17,Mostly Cloudy,Mendoza
-9.8,-15.2,65,24,25.0,101.13,Mostly Cloudy,Marcos Juárez
-9.4,-15.0,64,26,25.0,101.08,Cloudy,Machagai
-9.0,-14.7,63,33,25.0,101.02,Cloudy,Lincoln
-8.5,-14.1,64,22,25.0,100.93,Cloudy,Libertador General San Martín
-8.0,-13.7,64,30,25.0,100.81,Cloudy,Las Breñas
-7.6,-13.1,65,28,25.0,100.76,Cloudy,La Rioja
-7.3,-12.7,65,28,16.1,100.69,Snow Showers,La Falda
-7.1,-11.3,72,33,6.4,100.61,Snow,La Calera
-6.8,-10.5,75,33,3.2,100.54,Snow,Laboulaye
-6.2,-9.6,77,35,4.8,100.46,Snow,Junín
-6.0,-9.5,76,32,2.0,100.35,Snow,Joaquín V. González
-5.8,-8.9,79,32,4.8,100.22,Snow,Jesús María
-5.8,-8.6,81,33,1.2,100.09,Snow,Granadero Baigorria
-5.7,-8.5,81,28,1.2,99.97,Snow,Gobernador Gálvez
-5.2,-7.6,83,26,0.8,99.9,Moderate Snow,General Roca
-4.9,-7.3,83,33,0.6,99.88,Moderate Snow,General Pinedo
-5.1,-7.6,83,33,1.0,99.83,Snow,General Pico
-5.4,-8.1,81,35,1.2,99.76,Snow,General Enrique Mosconi
-5.0,-7.6,82,30,4.0,99.72,Snow,Gálvez
-5.0,-7.8,81,28,6.4,99.64,Snow,Firmat
-4.7,-7.6,80,24,6.4,99.56,Snow,Famaillá
-4.1,-6.8,81,26,25.0,99.47,Snow,Esquel
-4.6,-7.0,83,28,3.2,99.4,Snow,Esperanza
-5.1,-7.5,83,28,2.4,99.3,Snow,Embarcación
-5.0,-7.7,81,24,4.8,99.24,Snow,Embalse
-4.8,-7.5,81,22,25.0,99.22,Snow,El Bolsón
-4.5,-6.9,83,19,4.8,99.19,"Freezing Drizzle,Snow",Diamante
-5.0,-7.4,83,24,11.3,99.13,Cloudy,Deán Funes
-5.1,-7.7,82,20,12.9,99.06,Cloudy,Cutral-Có
-5.4,-7.8,83,22,16.1,98.94,Cloudy,Cruz del Eje
-5.1,-7.7,82,22,16.1,98.84,Cloudy,Crespo
-5.1,-7.5,83,26,8.0,98.69,Freezing Rain,Cosquín
-5.0,-7.3,84,32,4.8,98.56,"Freezing Rain,Snow Grains",Coronel Suárez
-4.8,-7.2,83,26,12.9,98.44,Freezing Drizzle,Coronda
-4.8,-7.3,83,28,9.7,98.22,Freezing Rain,Córdoba
-4.8,-7.5,81,24,2.0,98.07,Snow,Comodoro Rivadavia
-4.9,-7.3,83,20,1.2,97.99,Snow,Cipolletti
-4.8,-7.0,85,6,2.0,98.07,Snow,Cinco Saltos
-4.3,-6.5,85,13,8.0,98.1,Snow,Chivilcoy
-3.7,-6.0,84,11,6.4,98.16,Snow,Chimbas
-2.9,-4.8,87,15,1.6,98.23,Snow,Chilecito
-1.7,-3.3,89,26,16.1,98.32,Snow,Charata
-2.5,-4.5,86,33,2.0,98.6,Snow,Chacabuco
-3.2,-5.1,87,32,2.0,98.89,Snow,Centenario
-4.8,-7.9,79,37,4.8,99.09,"Snow,Blowing Snow",Caucete
-5.5,-10.1,70,32,12.9,99.28,Snow,Catriel
-7.6,-11.2,75,35,9.7,99.51,"Snow,Blowing Snow",Castelli
-8.9,-13.1,72,39,9.7,99.67,"Snow,Blowing Snow",Casilda
-9.7,-14.3,69,24,12.9,99.85,Snow,Carcarañá
-11.2,-15.5,70,28,9.7,100.01,"Snow,Blowing Snow",Capitán Bermúdez
-12.0,-16.2,71,24,8.0,100.16,"Snow,Blowing Snow",Cañada de Gómez
-13.4,-18.9,63,20,16.1,100.26,Snow,Caleta Olivia
-14.3,-19.8,63,24,25.0,100.39,Cloudy,Bell Ville
-15.2,-20.6,63,24,25.0,100.6,Cloudy,Bella Vista
-16.8,-22.2,63,26,25.0,100.73,Mostly Cloudy,Bahía Blanca
-17.9,-23.5,62,20,24.1,100.84,Mostly Cloudy,Arroyo Seco
-18.0,-23.6,61,19,24.1,100.97,Cloudy,Arroyito
-18.0,-23.9,60,22,24.1,101.08,Mostly Cloudy,Añatuya
-17.8,-23.9,59,20,24.1,101.14,Mostly Cloudy,Alta Gracia
-17.5,-23.8,58,20,48.3,101.16,Mostly Cloudy,Allen
-17.1,-24.1,55,17,48.3,101.18,Mainly Clear,Alderetes
-16.7,-23.4,56,17,48.3,101.2,Mostly Cloudy,Albardón
-16.7,-23.4,56,22,48.3,101.24,Mostly Cloudy,Aguilares
-16.7,-24.3,52,19,24.1,101.3,Mostly Cloudy,Villa Santa Rita
-17.4,-24.4,54,13,25.0,101.36,Mostly Cloudy,Villa Mercedes
-17.7,-24.3,56,20,25.0,101.46,Mainly Clear,San Carlos de Bariloche
-18.3,-24.4,59,17,25.0,101.56,Mainly Clear,Adrogué
-19.6,-25.8,58,13,25.0,101.62,Mainly Clear,Pago Pago
-20.0,-25.9,59,11,25.0,101.65,Mostly Cloudy,Wolfsberg
-19.9,-26.0,58,13,25.0,101.74,Mostly Cloudy,Wiener Neustadt
-20.3,-26.2,59,9,25.0,101.79,Mostly Cloudy,Vienna
-21.2,-26.8,61,11,25.0,101.81,Cloudy,Wels
-21.1,-26.6,61,9,25.0,101.86,Cloudy,Weinzierl bei Krems
-21.4,-26.6,63,9,25.0,101.99,Cloudy,Villach
-20.7,-26.1,62,4,25.0,102.04,Cloudy,Traun
-21.0,-26.6,61,0,25.0,102.12,Cloudy,Traiskirchen
-21.3,-26.5,63,6,25.0,102.19,Mostly Cloudy,Ternitz
-23.2,-28.5,62,7,25.0,102.28,Mostly Cloudy,Steyr
-22.8,-28.0,62,9,25.0,102.37,Mainly Clear,Spittal an der Drau
-23.3,-28.5,62,7,24.1,102.45,Clear,Schwechat
-22.2,-27.8,60,9,48.3,102.57,Mainly Clear,Sankt Pölten
-20.6,-26.8,58,9,48.3,102.66,Mainly Clear,Salzburg
-19.3,-26.1,55,9,48.3,102.68,Mainly Clear,Saalfelden am Steinernen Meer
-18.0,-25.5,52,13,48.3,102.67,Mainly Clear,Mödling
-16.8,-24.2,53,20,48.3,102.65,Mainly Clear,Lustenau
-16.0,-23.4,53,26,48.3,102.66,Mainly Clear,Linz
-15.4,-22.8,53,24,48.3,102.71,Clear,Leonding
-15.1,-22.8,52,24,48.3,102.79,Clear,Leoben
-16.2,-23.2,55,15,25.0,102.85,Clear,Kufstein
-16.3,-22.9,57,17,25.0,102.89,Clear,Krems an der Donau
-16.3,-22.7,58,20,25.0,102.94,Clear,Klosterneuburg
-16.7,-22.4,61,17,25.0,102.98,Clear,Klagenfurt am Wörthersee
-16.9,-22.2,63,15,25.0,103.02,Clear,Kapfenberg
-16.9,-21.7,66,17,25.0,103.07,Clear,Innsbruck
-16.9,-21.4,68,15,25.0,103.09,Clear,Hallein
-17.1,-21.9,66,15,25.0,103.09,Clear,Graz
-17.8,-22.7,65,6,25.0,103.05,Clear,Feldkirch
-18.5,-23.0,68,6,25.0,103.08,Clear,Dornbirn
-19.2,-23.8,67,6,25.0,103.07,Clear,Bregenz
-18.7,-23.5,66,0,25.0,103.05,Clear,Braunau am Inn
-19.1,-23.3,69,0,25.0,103.02,Clear,Baden
-18.7,-23.2,68,0,25.0,103.01,Clear,Amstetten
-17.9,-21.5,73,4,48.3,102.96,Mainly Clear,Ansfelden
-17.9,-22.6,67,9,48.3,102.9,Mostly Cloudy,Whyalla
-14.4,-20.7,59,22,48.3,102.75,Cloudy,Rockingham
-13.6,-18.7,65,19,48.3,102.62,Mostly Cloudy,Prospect
-12.7,-17.7,66,20,48.3,102.44,Mostly Cloudy,Port Hedland
-10.7,-16.9,60,19,48.3,102.17,Mostly Cloudy,Perth
-10.1,-16.1,61,13,48.3,101.92,Cloudy,Murray Bridge
-9.0,-13.8,68,13,48.3,101.71,Mostly Cloudy,Mount Isa
-8.0,-13.8,63,17,48.3,101.49,Cloudy,Morphett Vale
-7.1,-14.1,57,9,48.3,101.41,Cloudy,Mandurah
-7.6,-14.8,56,4,25.0,101.34,Mostly Cloudy,Kwinana
-12.5,-17.5,66,15,25.0,101.31,Mainly Clear,Kalgoorlie
-14.8,-19.1,70,15,25.0,101.23,Mainly Clear,Gosnells
-14.0,-18.3,70,13,25.0,101.19,Cloudy,Geraldton
-12.9,-17.1,71,11,25.0,101.12,Cloudy,Gawler
-12.2,-16.5,70,9,25.0,101.05,Cloudy,Fremantle
-11.5,-15.7,71,7,25.0,100.98,Cloudy,Darwin
-10.8,-15.0,71,9,25.0,100.94,Cloudy,Busselton
-10.4,-14.6,71,9,25.0,100.88,Cloudy,Bunbury
-9.7,-13.7,73,9,25.0,100.84,Cloudy,Armadale
-9.2,-13.2,73,6,25.0,100.84,Cloudy,Alice Springs
-9.0,-12.2,78,6,6.4,100.8,Freezing Drizzle,Albany
